source_key	target_key	equal
model.22.m.0.conv1.bn.running_var	model.23.m.0.conv1.bn.running_var	True
model.22.m.0.conv1.bn.num_batches_tracked	model.23.m.0.conv1.bn.num_batches_tracked	True
model.22.m.0.conv2.conv.weight	model.23.m.0.conv2.conv.weight	True
model.22.m.0.conv2.bn.weight	model.23.m.0.conv2.bn.weight	True
model.22.m.0.conv2.bn.bias	model.23.m.0.conv2.bn.bias	True
model.22.m.0.conv2.bn.running_mean	model.23.m.0.conv2.bn.running_mean	True
model.22.m.0.conv2.bn.running_var	model.23.m.0.conv2.bn.running_var	True
model.22.m.0.conv2.bn.num_batches_tracked	model.23.m.0.conv2.bn.num_batches_tracked	True
model.22.m.1.conv1.conv.weight	model.23.m.1.conv1.conv.weight	True
model.22.m.1.conv1.bn.weight	model.23.m.1.conv1.bn.weight	True
model.22.m.1.conv1.bn.bias	model.23.m.1.conv1.bn.bias	True
model.22.m.1.conv1.bn.running_mean	model.23.m.1.conv1.bn.running_mean	True
model.22.m.1.conv1.bn.running_var	model.23.m.1.conv1.bn.running_var	True
model.22.m.1.conv1.bn.num_batches_tracked	model.23.m.1.conv1.bn.num_batches_tracked	True
model.22.m.1.conv2.conv.weight	model.23.m.1.conv2.conv.weight	True
model.22.m.1.conv2.bn.weight	model.23.m.1.conv2.bn.weight	True
model.22.m.1.conv2.bn.bias	model.23.m.1.conv2.bn.bias	True
model.22.m.1.conv2.bn.running_mean	model.23.m.1.conv2.bn.running_mean	True
model.22.m.1.conv2.bn.running_var	model.23.m.1.conv2.bn.running_var	True
model.22.m.1.conv2.bn.num_batches_tracked	model.23.m.1.conv2.bn.num_batches_tracked	True
model.22.m.2.conv1.conv.weight	model.23.m.2.conv1.conv.weight	True
model.22.m.2.conv1.bn.weight	model.23.m.2.conv1.bn.weight	True
model.22.m.2.conv1.bn.bias	model.23.m.2.conv1.bn.bias	True
model.22.m.2.conv1.bn.running_mean	model.23.m.2.conv1.bn.running_mean	True
model.22.m.2.conv1.bn.running_var	model.23.m.2.conv1.bn.running_var	True
model.22.m.2.conv1.bn.num_batches_tracked	model.23.m.2.conv1.bn.num_batches_tracked	True
model.22.m.2.conv2.conv.weight	model.23.m.2.conv2.conv.weight	True
model.22.m.2.conv2.bn.weight	model.23.m.2.conv2.bn.weight	True
model.22.m.2.conv2.bn.bias	model.23.m.2.conv2.bn.bias	True
model.22.m.2.conv2.bn.running_mean	model.23.m.2.conv2.bn.running_mean	True
model.22.m.2.conv2.bn.running_var	model.23.m.2.conv2.bn.running_var	True
model.22.m.2.conv2.bn.num_batches_tracked	model.23.m.2.conv2.bn.num_batches_tracked	True
model.22.cv3.conv.weight	model.23.cv3.conv.weight	True
model.22.cv3.bn.weight	model.23.cv3.bn.weight	True
model.22.cv3.bn.bias	model.23.cv3.bn.bias	True
model.22.cv3.bn.running_mean	model.23.cv3.bn.running_mean	True
model.22.cv3.bn.running_var	model.23.cv3.bn.running_var	True
model.22.cv3.bn.num_batches_tracked	model.23.cv3.bn.num_batches_tracked	True
model.23.conv.weight	model.24.conv.weight	True
model.23.bn.weight	model.24.bn.weight	True
model.23.bn.bias	model.24.bn.bias	True
model.23.bn.running_mean	model.24.bn.running_mean	True
model.23.bn.running_var	model.24.bn.running_var	True
model.23.bn.num_batches_tracked	model.24.bn.num_batches_tracked	True
model.25.cv1.conv.weight	model.26.cv1.conv.weight	True
model.25.cv1.bn.weight	model.26.cv1.bn.weight	True
model.25.cv1.bn.bias	model.26.cv1.bn.bias	True
model.25.cv1.bn.running_mean	model.26.cv1.bn.running_mean	True
model.25.cv1.bn.running_var	model.26.cv1.bn.running_var	True
model.25.cv1.bn.num_batches_tracked	model.26.cv1.bn.num_batches_tracked	True
model.25.cv2.conv.weight	model.26.cv2.conv.weight	True
model.25.cv2.bn.weight	model.26.cv2.bn.weight	True
model.25.cv2.bn.bias	model.26.cv2.bn.bias	True
