epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
137,19910.1,0.44288,0.50131,0.18166,0.83881,0.81394,0.87223,0.49825,0.48849,0.48718,0.21027,0.000119883,0.000119883,0.000119883
138,20019.7,0.44419,0.49805,0.18332,0.84026,0.81443,0.87268,0.49805,0.48902,0.48748,0.20952,0.000116617,0.000116617,0.000116617
139,20134.4,0.44629,0.49678,0.18451,0.83959,0.81606,0.87276,0.49911,0.48796,0.48742,0.20915,0.000113384,0.000113384,0.000113384
140,20247.8,0.44438,0.49805,0.18303,0.84231,0.81497,0.8738,0.50036,0.48646,0.48705,0.20785,0.000110186,0.000110186,0.000110186
141,20360.9,0.44002,0.49543,0.18094,0.83955,0.81682,0.87399,0.50148,0.48559,0.4866,0.2076,0.000107023,0.000107023,0.000107023
142,20471,0.44,0.49733,0.18092,0.84037,0.81565,0.87458,0.50208,0.48549,0.48625,0.20701,0.000103896,0.000103896,0.000103896
143,20583.4,0.43999,0.49406,0.1798,0.83954,0.8155,0.87472,0.5027,0.48527,0.48588,0.20682,0.000100806,0.000100806,0.000100806
144,20699.4,0.44024,0.49471,0.18105,0.84046,0.81849,0.87517,0.50238,0.48585,0.48513,0.20695,9.77524e-05,9.77524e-05,9.77524e-05
145,20814,0.44129,0.49512,0.18147,0.84053,0.8206,0.87578,0.50296,0.48628,0.48444,0.2073,9.47376e-05,9.47376e-05,9.47376e-05
146,20924.9,0.43847,0.49519,0.17893,0.84143,0.82134,0.87668,0.5036,0.48591,0.48388,0.20726,9.17616e-05,9.17616e-05,9.17616e-05
147,21039.7,0.43798,0.49246,0.17952,0.84007,0.8229,0.87757,0.50457,0.48582,0.48289,0.20747,8.88253e-05,8.88253e-05,8.88253e-05
148,21155.1,0.43794,0.49645,0.18016,0.84118,0.82399,0.87743,0.50462,0.48539,0.48294,0.20718,8.59294e-05,8.59294e-05,8.59294e-05
149,21264.8,0.43435,0.49223,0.1777,0.84343,0.82547,0.87868,0.50598,0.48474,0.48197,0.20705,8.30746e-05,8.30746e-05,8.30746e-05
150,21377.4,0.43416,0.49236,0.17866,0.84444,0.82632,0.8799,0.5067,0.48435,0.48152,0.2065,8.02616e-05,8.02616e-05,8.02616e-05
151,21495.7,0.43392,0.48785,0.17708,0.84624,0.82617,0.8808,0.50714,0.48468,0.48015,0.20666,7.74911e-05,7.74911e-05,7.74911e-05
152,21606,0.43896,0.49245,0.17978,0.84798,0.8276,0.88171,0.50785,0.48465,0.47966,0.20658,7.47637e-05,7.47637e-05,7.47637e-05
